[INFO  ] [18:12:22.096893] <                    > fastchess --- fastchess alpha 1.5.0 compiled for macos-latest 20250921-5c6d1bc (CI) 
[INFO  ] [18:12:22.097230] <                    > fastchess --- Setting seed to: 18092083556781532155
[INFO  ] [18:12:22.172805] <                    > fastchess --- Indexing opening suite...

[INFO  ] [18:12:22.174010] <                    > fastchess --- Starting tournament...
[Engine] [18:12:22.527536] <         0x16d9b7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> option name Minimum Thinking Time type spin default 20 min 0 max 30000
[Engine] [18:12:22.527839] <         0x16dbe7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> option name Minimum Thinking Time type spin default 20 min 0 max 30000
[Engine] [18:12:22.527925] <         0x16d89f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> option name Minimum Thinking Time type spin default 20 min 0 max 30000
[Engine] [18:12:22.527971] <         0x16da43000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> option name Move Overhead type spin default 20 min 0 max 1000
[Engine] [18:12:22.528174] <         0x16da43000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> uciok
[Engine] [18:12:22.528012] <         0x16dacf000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> option name Move Overhead type spin default 20 min 0 max 1000
[Engine] [18:12:22.528212] <         0x16dacf000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> uciok
[Engine] [18:12:22.528030] <         0x16d9b7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> option name Move Overhead type spin default 20 min 0 max 1000
[Engine] [18:12:22.528286] <         0x16d9b7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> uciok
[Engine] [18:12:22.528051] <         0x16dbe7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> option name Move Overhead type spin default 20 min 0 max 1000
[Engine] [18:12:22.528328] <         0x16dbe7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> uciok
[Engine] [18:12:22.528345] <         0x16d9b7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- ucinewgame
[Engine] [18:12:22.527520] <         0x16db5b000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- isready
[Engine] [18:12:22.527288] <         0x16d813000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> option name Hash type spin default 16 min 1 max 4096
[Engine] [18:12:22.528155] <         0x16d89f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> option name Move Overhead type spin default 20 min 0 max 1000
[Engine] [18:12:22.528398] <         0x16d9b7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- isready
[Engine] [18:12:22.528465] <         0x16d813000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> option name Clear Hash type button
[Engine] [18:12:22.528567] <         0x16d813000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> option name Minimum Thinking Time type spin default 20 min 0 max 30000
[Engine] [18:12:22.528597] <         0x16d813000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> option name Move Overhead type spin default 20 min 0 max 1000
[Engine] [18:12:22.528619] <         0x16d813000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> uciok
[Engine] [18:12:22.528366] <         0x16dbe7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- ucinewgame
[Engine] [18:12:22.528481] <         0x16d89f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> uciok
[Engine] [18:12:22.528730] <         0x16dbe7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- isready
[Engine] [18:12:22.528735] <         0x16d89f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- ucinewgame
[Engine] [18:12:22.528789] <         0x16d89f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- isready
[Engine] [18:12:22.528965] <         0x16d92b000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- uci
[Engine] [18:12:22.529973] <         0x16da43000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- uci
[Engine] [18:12:22.532114] <         0x16dacf000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- uci
[Engine] [18:12:22.532373] <         0x16d813000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- uci
[Engine] [18:12:22.532497] <         0x16db5b000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> readyok
[Engine] [18:12:22.532521] <         0x16db5b000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot <--- ucinewgame
[Engine] [18:12:22.532553] <         0x16db5b000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot <--- isready
[Engine] [18:12:22.532724] <         0x16d89f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> readyok
[Engine] [18:12:22.532747] <         0x16d89f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot <--- ucinewgame
[Engine] [18:12:22.532752] <         0x16dbe7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> readyok
[Engine] [18:12:22.532767] <         0x16d9b7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> readyok
[Engine] [18:12:22.532808] <         0x16dbe7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot <--- ucinewgame
[Engine] [18:12:22.532766] <         0x16d89f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot <--- isready
[Engine] [18:12:22.532756] <         0x16db5b000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot ---> readyok
